measure,source_file
"Portfolio ROI Previous Month","Measure.tmdl"
"Portfolio ROI MoM","Measure.tmdl"
"Raw Default Rate Previous Month","Measure.tmdl"
"Raw Default Rate MoM","Measure.tmdl"
"Average DTI Previous Month","Measure.tmdl"
"Average DTI MoM","Measure.tmdl"
"Seasoned Loan Applications","Measure.tmdl"
"Early Stage Loan Applications","Measure.tmdl"
"Seasoning Coverage","Measure.tmdl"
"Seasoned Bad Loan Count","Measure.tmdl"
"Seasoned Bad Loan Rate","Measure.tmdl"
"Seasoned Good Loan Count","Measure.tmdl"
"Seasoned Good Loan Rate","Measure.tmdl"
"Seasoned Recovery Rate","Measure.tmdl"
"Seasoning Bad Rate Gap","Measure.tmdl"
"36M Seasoned Bad Loan Rate","Measure.tmdl"
"60M Seasoned Bad Loan Rate","Measure.tmdl"
"Term Risk Gap","Measure.tmdl"
"High Risk Rule Seasoned Loans","Measure.tmdl"
"High Risk Rule Seasoned Bad Rate","Measure.tmdl"
"High Risk Rule Lift","Measure.tmdl"
"Model AUC","Measure.tmdl"
"Driver Importance","Measure.tmdl"
"Rule Loans","Measure.tmdl"
"Rule Bad Loans","Measure.tmdl"
"Rule Bad Rate","Measure.tmdl"
"Rule Lift","Measure.tmdl"
"Top Rule Bad Rate","Measure.tmdl"
"Seasoned Loan Applications Previous Month","Measure.tmdl"
"Seasoned Loan Applications MoM","Measure.tmdl"
"Seasoned Bad Loan Rate Previous Month","Measure.tmdl"
"Seasoned Bad Loan Rate Variance pp","Measure.tmdl"
"Seasoned Good Loan Rate Previous Month","Measure.tmdl"
"Seasoned Good Loan Rate Variance pp","Measure.tmdl"
"Seasoned Recovery Rate Previous Month","Measure.tmdl"
"Seasoned Recovery Rate Variance pp","Measure.tmdl"
"KPI Seasoned Applications Display","Measure.tmdl"
"KPI Seasoning Coverage Display","Measure.tmdl"
"KPI Seasoned Bad Rate Display","Measure.tmdl"
"KPI Seasoned Good Rate Display","Measure.tmdl"
"KPI Seasoned Recovery Display","Measure.tmdl"
"KPI High Risk Rule Rate Display","Measure.tmdl"
"KPI High Risk Lift Display","Measure.tmdl"
"KPI 60M Bad Rate Display","Measure.tmdl"
"KPI Model AUC Display","Measure.tmdl"
"KPI Top Rule Bad Rate Display","Measure.tmdl"
"Average Delinquencies Previous Month","Measure.tmdl"
"Average Delinquencies MoM","Measure.tmdl"
"Public Record Rate Previous Month","Measure.tmdl"
"Public Record Rate Variance pp","Measure.tmdl"
"KPI Average Delinquencies Display","Measure.tmdl"
"KPI Public Record Rate Display","Measure.tmdl"
"KPI Average DTI Display","Measure.tmdl"
"Purpose Seasoned Bad Rate Rank","Measure.tmdl"
"Top 8 Purpose Seasoned Bad Rate","Measure.tmdl"
"Seasoning Coverage Previous Month","Measure.tmdl"
"Seasoning Coverage Variance pp","Measure.tmdl"
"Model Gini","Measure.tmdl"
"Purpose Application Rank","Measure.tmdl"
"Top 5 Purpose Applications","Measure.tmdl"
"KPI Raw Default Rate Display","Measure.tmdl"
"KPI Portfolio ROI Display","Measure.tmdl"
"KPI Good Loan Rate Display","Measure.tmdl"
"Good Loan Rate Previous Month","Measure.tmdl"
"Good Loan Rate Variance pp","Measure.tmdl"
"KPI MoM Display Borrowers MoM","Measure.tmdl"
"KPI MoM Color Borrowers MoM","Measure.tmdl"
"KPI MoM Display Avg Loan MoM","Measure.tmdl"
"KPI MoM Color Avg Loan MoM","Measure.tmdl"
"KPI MoM Display Seasoned Loan Applications MoM","Measure.tmdl"
"KPI MoM Color Seasoned Loan Applications MoM","Measure.tmdl"
"KPI MoM Display Average Delinquencies MoM","Measure.tmdl"
"KPI MoM Color Average Delinquencies MoM","Measure.tmdl"
"KPI MoM Display Avg Interest MoM","Measure.tmdl"
"KPI MoM Color Avg Interest MoM","Measure.tmdl"
"KPI MoM Display Seasoned Bad Loan Rate Variance pp","Measure.tmdl"
"KPI MoM Color Seasoned Bad Loan Rate Variance pp","Measure.tmdl"
"KPI MoM Display Public Record Rate Variance pp","Measure.tmdl"
"KPI MoM Color Public Record Rate Variance pp","Measure.tmdl"
"KPI MoM Display Seasoned Good Loan Rate Variance pp","Measure.tmdl"
"KPI MoM Color Seasoned Good Loan Rate Variance pp","Measure.tmdl"
"KPI MoM Display Income Verification Variance pp","Measure.tmdl"
"KPI MoM Color Income Verification Variance pp","Measure.tmdl"
"KPI MoM Display Raw Default Rate MoM","Measure.tmdl"
"KPI MoM Color Raw Default Rate MoM","Measure.tmdl"
"KPI MoM Display Seasoned Recovery Rate Variance pp","Measure.tmdl"
"KPI MoM Color Seasoned Recovery Rate Variance pp","Measure.tmdl"
"KPI MoM Display Portfolio ROI MoM","Measure.tmdl"
"KPI MoM Color Portfolio ROI MoM","Measure.tmdl"
"KPI MoM Display Average DTI MoM","Measure.tmdl"
"KPI MoM Color Average DTI MoM","Measure.tmdl"
"KPI MoM Display Low Recovery Exposure MoM","Measure.tmdl"
"KPI MoM Color Low Recovery Exposure MoM","Measure.tmdl"
"KPI MoM Display Seasoning Coverage Variance pp","Measure.tmdl"
"KPI MoM Color Seasoning Coverage Variance pp","Measure.tmdl"
